Job Title,Company,Recruiter Name,Location,Employment Type 1,Employment Type 2,Employment Type 3,Employment Type 4,Employment Type 5,Employment Type 6,Contract Duration,Corp To Corp,Pay,Work Type,Job Description,Job URL
Cloud Engineer,Apex Systems,,"Columbus, OH",Full Time,,,,,,,,USD 62.00 - 74.00 per hour,On Site,"Job#: 3016670

Job Description:

Job Title: Cloud Engineer

Job Location: Columbus, OH (Onsite)

Job Pay Range: $62/hr - $74/hr

Job Contract Length: 6 Months (Contract-to-Hire)

Key Responsibilities




Apex Systems is a world-class IT services company that serves thousands of clients across the globe. When you join Apex, you become part of a team that values innovation, collaboration, and continuous learning. We offer quality career resources, training, certifications, development opportunities, and a comprehensive benefits package. Our commitment to excellence is reflected in many awards, including ClearlyRated's Best of Staffing in Talent Satisfaction in the United States and Great Place to Work in the United Kingdom and Mexico. Apex uses a virtual recruiter as part of the application process. Click for more details.

Apex offers a range of supplemental benefits, including medical, dental, vision, life, disability, and other insurance plans that offer an optional layer of financial protection. We offer an ESPP (employee stock purchase program) and a 401K program which allows you to contribute typically within 30 days of starting, with a company match after 12 months of tenure. Apex also offers a HSA (Health Savings Account on the HDHP plan), a SupportLinc Employee Assistance Program (EAP) with up to 8 free counseling sessions, a corporate discount savings program and other discounts. In terms of professional development, Apex hosts an on-demand training program, provides access to certification prep and a library of technical and leadership courses/books/seminars once you have 6+ months of tenure, and certification discounts and other perks to associations that include CompTIA and IIBA. Apex has a dedicated customer service team for our Consultants that can address questions around benefits and other resources, as well as a certified Career Coach. You can access a full list of our benefits, programs, support teams and resources within our 'Welcome Packet' as well, which an Apex team member can provide.",https://www.dice.com/job-detail/6e7ad1f2-dea3-4f1a-92f6-5eacdb370a12
Quality Engineer,Apex Systems,,"Cincinnati, OH",Full Time,,,,,,,,USD 25.00 - 35.00 per hour,On Site,"Job#: 3013272

Job Description:

Title: Automation Tester

Location: Cincinnati OH

Rate: 25-35/hr

This is a w2 role, we cannot offer sponsorship now or in the future.

Job Summary:

Responsibilities will include functional testing, load testing, usability testing, continuous integration and code reviews.

Primary Responsibilities:

Reviewing requirements, specifications and technical design documents to provide timely and meaningful feedback

Participate and contribute extensively to requirements analysis, design, QA test plan development, defect review, QA results analysis, sprint review, project planning sessions.

Estimating, prioritizing, planning and coordinating testing activities

Develop, document and maintain functional test cases and other test artifacts like test data, data validation and automated scripts

Execute and evaluate automated test cases and report test results

Perform risk assessments and business requirements validation

Investigate bugs and write clear and concise defect reports

Monitor, triage, and drive resolution of issues

Qualifications:

Technical Degree or related work experience

Experience with Automation Engineer (i.e. Selenium with Java or similar)

Experience in building and maintaining automated test frameworks (i.e. Java, Perl, ect)

Hands on experience Load/Integration testing/Security testing/Server-side testing

-Relational Database Development (MySQL, Microsoft SQL, Oracle, etc.)

Experience with Git version control and CI/CD tools

Experience with agile development

Apex Systems is a world-class IT services company that serves thousands of clients across the globe. When you join Apex, you become part of a team that values innovation, collaboration, and continuous learning. We offer quality career resources, training, certifications, development opportunities, and a comprehensive benefits package. Our commitment to excellence is reflected in many awards, including ClearlyRated's Best of Staffing in Talent Satisfaction in the United States and Great Place to Work in the United Kingdom and Mexico. Apex uses a virtual recruiter as part of the application process. Click for more details.

Apex offers a range of supplemental benefits, including medical, dental, vision, life, disability, and other insurance plans that offer an optional layer of financial protection. We offer an ESPP (employee stock purchase program) and a 401K program which allows you to contribute typically within 30 days of starting, with a company match after 12 months of tenure. Apex also offers a HSA (Health Savings Account on the HDHP plan), a SupportLinc Employee Assistance Program (EAP) with up to 8 free counseling sessions, a corporate discount savings program and other discounts. In terms of professional development, Apex hosts an on-demand training program, provides access to certification prep and a library of technical and leadership courses/books/seminars once you have 6+ months of tenure, and certification discounts and other perks to associations that include CompTIA and IIBA. Apex has a dedicated customer service team for our Consultants that can address questions around benefits and other resources, as well as a certified Career Coach. You can access a full list of our benefits, programs, support teams and resources within our 'Welcome Packet' as well, which an Apex team member can provide.",https://www.dice.com/job-detail/39d9f218-ca66-458d-8dd7-949a0e340d46
SAP Fieldglass Coordinator,Apex Systems,,"Miami, FL",Full Time,,,,,,,,USD 35.00 - 40.00 per hour,On Site,"Job#: 3016960

Job Description:

Apex Systems, a World-Class Technology Solutions Provider, is seeking applicants for the below position on behalf of our client. Please apply if interested and qualified. Please note that only qualified candidates will be contacted.

Position: SAP Fieldglass Coordinator

Location: Miami, FL - Onsite 1-2 times a month

Duration: 6 month rolling contract

$35-40/hr



Our client is looking for an SAP Fieldglass Administrator/Coordinator to assist with FTE and contractor openings. This person and willing to go into the office whenever needed.






*Please note that as a contract employee of Apex Systems, benefits include the below with employee contribution*

Health

Dental

Vision

Life Insurance; Short Term Disability

Hospitalization Coverage

Direct Deposit

Weekly Pay Periods

Training and Development Programs

401k

Referral Program

Apex Systems is a world-class IT services company that serves thousands of clients across the globe. When you join Apex, you become part of a team that values innovation, collaboration, and continuous learning. We offer quality career resources, training, certifications, development opportunities, and a comprehensive benefits package. Our commitment to excellence is reflected in many awards, including ClearlyRated's Best of Staffing in Talent Satisfaction in the United States and Great Place to Work in the United Kingdom and Mexico. Apex uses a virtual recruiter as part of the application process. Click for more details.

Apex offers a range of supplemental benefits, including medical, dental, vision, life, disability, and other insurance plans that offer an optional layer of financial protection. We offer an ESPP (employee stock purchase program) and a 401K program which allows you to contribute typically within 30 days of starting, with a company match after 12 months of tenure. Apex also offers a HSA (Health Savings Account on the HDHP plan), a SupportLinc Employee Assistance Program (EAP) with up to 8 free counseling sessions, a corporate discount savings program and other discounts. In terms of professional development, Apex hosts an on-demand training program, provides access to certification prep and a library of technical and leadership courses/books/seminars once you have 6+ months of tenure, and certification discounts and other perks to associations that include CompTIA and IIBA. Apex has a dedicated customer service team for our Consultants that can address questions around benefits and other resources, as well as a certified Career Coach. You can access a full list of our benefits, programs, support teams and resources within our 'Welcome Packet' as well, which an Apex team member can provide.",https://www.dice.com/job-detail/e3ca603b-f750-45bf-8acb-8ebea65d182f
Engineer- Construction - III,Apex Systems,,"Overland Park, KS",Full Time,,,,,,,,,On Site,"Job#: 3016637

Job Description:

Description:

Targeted Years of Experience: 5 years

Responsibilities:

Manage construction activities related to the development of multiple, simultaneous Network infrastructure projects.

Provide financial management of projects from initial proposal/bid through receipt of final product or service including.

Daily activities include schedule and financial management as well as interfacing with vendors via calls and meetings.

Must have attention to detail, sense of urgency and wireless network (cell site) construction experience as well as technical aptitude with computers to navigate tools.

MUST HAVE SKILLS:

Fuze/Siterra experience

understanding construction drawings

must have worked in wireless construction

DESIRED SKILLS:

gsuite

excel/pivot tables

budgeting

EDUCATION/CERTIFICATIONS:

5 to 6 years in the wireless industry

Apex Systems is a world-class IT services company that serves thousands of clients across the globe. When you join Apex, you become part of a team that values innovation, collaboration, and continuous learning. We offer quality career resources, training, certifications, development opportunities, and a comprehensive benefits package. Our commitment to excellence is reflected in many awards, including ClearlyRated's Best of Staffing in Talent Satisfaction in the United States and Great Place to Work in the United Kingdom and Mexico. Apex uses a virtual recruiter as part of the application process. Click for more details.

Apex offers a range of supplemental benefits, including medical, dental, vision, life, disability, and other insurance plans that offer an optional layer of financial protection. We offer an ESPP (employee stock purchase program) and a 401K program which allows you to contribute typically within 30 days of starting, with a company match after 12 months of tenure. Apex also offers a HSA (Health Savings Account on the HDHP plan), a SupportLinc Employee Assistance Program (EAP) with up to 8 free counseling sessions, a corporate discount savings program and other discounts. In terms of professional development, Apex hosts an on-demand training program, provides access to certification prep and a library of technical and leadership courses/books/seminars once you have 6+ months of tenure, and certification discounts and other perks to associations that include CompTIA and IIBA. Apex has a dedicated customer service team for our Consultants that can address questions around benefits and other resources, as well as a certified Career Coach. You can access a full list of our benefits, programs, support teams and resources within our 'Welcome Packet' as well, which an Apex team member can provide.",https://www.dice.com/job-detail/b2b42ba8-5c21-4486-a1a6-b86ebfba07fe
Desktop Support,Apex Systems,,"Nashville, TN",Full Time,,,,,,,,,On Site,"Job#: 3016723

Job Description:

Apex Systems is looking to hire an IT Field Technician to support our large Information Technology client here in Nashville, TN. If interested, please apply directly to Cameron at

Title: IT Field Technician/Desktop Support

Location: Nashville, TN

Shift: Mon- Fri 8:00am am-5:00 pm

Contract to Hire


Required Qualifications:

Minimum Requirements:

Preferred, NOT REQUIRED:

Apex Systems is a world-class IT services company that serves thousands of clients across the globe. When you join Apex, you become part of a team that values innovation, collaboration, and continuous learning. We offer quality career resources, training, certifications, development opportunities, and a comprehensive benefits package. Our commitment to excellence is reflected in many awards, including ClearlyRated's Best of Staffing in Talent Satisfaction in the United States and Great Place to Work in the United Kingdom and Mexico. Apex uses a virtual recruiter as part of the application process. Click for more details.

Apex offers a range of supplemental benefits, including medical, dental, vision, life, disability, and other insurance plans that offer an optional layer of financial protection. We offer an ESPP (employee stock purchase program) and a 401K program which allows you to contribute typically within 30 days of starting, with a company match after 12 months of tenure. Apex also offers a HSA (Health Savings Account on the HDHP plan), a SupportLinc Employee Assistance Program (EAP) with up to 8 free counseling sessions, a corporate discount savings program and other discounts. In terms of professional development, Apex hosts an on-demand training program, provides access to certification prep and a library of technical and leadership courses/books/seminars once you have 6+ months of tenure, and certification discounts and other perks to associations that include CompTIA and IIBA. Apex has a dedicated customer service team for our Consultants that can address questions around benefits and other resources, as well as a certified Career Coach. You can access a full list of our benefits, programs, support teams and resources within our 'Welcome Packet' as well, which an Apex team member can provide.",https://www.dice.com/job-detail/626d2b8a-fbd6-4b74-b186-d38b209bcd11
Interim Director - Enterprise Systems and Services,Apex Systems,,"Dallas, TX",Full Time,,,,,,,,,On Site,"Job#: 3016646

Job Description:

Role: Interim IT Director

Location: Dallas, TX (75247) 2x/wk onsite

Contract Duration: W2 Contract to Hire

Interim Director - Enterprise Systems & Services (ESS)

Summary

Lead ESS operations during the interim period, ensuring stability, compliance, and strategic alignment across identity, access, and enterprise systems.








Apex Systems is a world-class IT services company that serves thousands of clients across the globe. When you join Apex, you become part of a team that values innovation, collaboration, and continuous learning. We offer quality career resources, training, certifications, development opportunities, and a comprehensive benefits package. Our commitment to excellence is reflected in many awards, including ClearlyRated's Best of Staffing in Talent Satisfaction in the United States and Great Place to Work in the United Kingdom and Mexico. Apex uses a virtual recruiter as part of the application process. Click for more details.

Apex offers a range of supplemental benefits, including medical, dental, vision, life, disability, and other insurance plans that offer an optional layer of financial protection. We offer an ESPP (employee stock purchase program) and a 401K program which allows you to contribute typically within 30 days of starting, with a company match after 12 months of tenure. Apex also offers a HSA (Health Savings Account on the HDHP plan), a SupportLinc Employee Assistance Program (EAP) with up to 8 free counseling sessions, a corporate discount savings program and other discounts. In terms of professional development, Apex hosts an on-demand training program, provides access to certification prep and a library of technical and leadership courses/books/seminars once you have 6+ months of tenure, and certification discounts and other perks to associations that include CompTIA and IIBA. Apex has a dedicated customer service team for our Consultants that can address questions around benefits and other resources, as well as a certified Career Coach. You can access a full list of our benefits, programs, support teams and resources within our 'Welcome Packet' as well, which an Apex team member can provide.",https://www.dice.com/job-detail/0ceda1cd-3eaa-44f4-93a8-8fd1c90a1588
Systems Administrator,Apex Systems,,"Charlotte, NC",Full Time,,,,,,,,,On Site,"Job#: 3017035

Job Description:

Title / Position: Systems Administrator

Location: Charlotte, NC
Remote/Hybrid allowance: 4x/week onsite, 1/week remote

Contract Duration: 12+ months

Top Requirements:
Linux/Windows administration experience


This role is within the secure data movement team - which works on file transfers from this company to external vendors. The role involves system administration work as related to their file transfer platform which is cloud-based. The role includes monitoring tickets and logs within the platform as well as troubleshooting and maintenance of the platform. Daily responsibilities will be to uphold the standards of the organization from a security perspective and monitor/interpret metrics associated with the platform (success/failure, KPIs). Scripts are used to point transfers to correct buckets and automating services. Knowledge of protocols like SFTP, HTTPS (port 443) and LDAP would be advantageous. The team is looking for someone who is excited to learn and perform at a rigorous level.

Apex Systems is a world-class IT services company that serves thousands of clients across the globe. When you join Apex, you become part of a team that values innovation, collaboration, and continuous learning. We offer quality career resources, training, certifications, development opportunities, and a comprehensive benefits package. Our commitment to excellence is reflected in many awards, including ClearlyRated's Best of Staffing in Talent Satisfaction in the United States and Great Place to Work in the United Kingdom and Mexico. Apex uses a virtual recruiter as part of the application process. Click for more details.

Apex offers a range of supplemental benefits, including medical, dental, vision, life, disability, and other insurance plans that offer an optional layer of financial protection. We offer an ESPP (employee stock purchase program) and a 401K program which allows you to contribute typically within 30 days of starting, with a company match after 12 months of tenure. Apex also offers a HSA (Health Savings Account on the HDHP plan), a SupportLinc Employee Assistance Program (EAP) with up to 8 free counseling sessions, a corporate discount savings program and other discounts. In terms of professional development, Apex hosts an on-demand training program, provides access to certification prep and a library of technical and leadership courses/books/seminars once you have 6+ months of tenure, and certification discounts and other perks to associations that include CompTIA and IIBA. Apex has a dedicated customer service team for our Consultants that can address questions around benefits and other resources, as well as a certified Career Coach. You can access a full list of our benefits, programs, support teams and resources within our 'Welcome Packet' as well, which an Apex team member can provide.",https://www.dice.com/job-detail/ecf2510e-cbd4-4bb9-aace-47f2be024581
Infrastructure Engineer 3 (Cognos Admin),Apex Systems,,"Charlotte, NC",Full Time,,,,,,,,,On Site,"Job#: 3015390

Job Description:
Position: Cognos Administrator

Contract Length: 6 months with potential extension
Overview

We are seeking an experienced Cognos Administrator to support a large-scale enterprise environment. This role will focus on standard administration responsibilities-managing servers, performing installations and upgrades, configuring environments, and providing ongoing support. A key part of the assignment includes assisting with the migration of Cognos into new data center environments.

Candidates should have hands-on experience supporting enterprise-level Cognos implementations and be comfortable operating in complex, high-volume settings.



Apex Systems is a world-class IT services company that serves thousands of clients across the globe. When you join Apex, you become part of a team that values innovation, collaboration, and continuous learning. We offer quality career resources, training, certifications, development opportunities, and a comprehensive benefits package. Our commitment to excellence is reflected in many awards, including ClearlyRated's Best of Staffing in Talent Satisfaction in the United States and Great Place to Work in the United Kingdom and Mexico. Apex uses a virtual recruiter as part of the application process. Click for more details.

Apex offers a range of supplemental benefits, including medical, dental, vision, life, disability, and other insurance plans that offer an optional layer of financial protection. We offer an ESPP (employee stock purchase program) and a 401K program which allows you to contribute typically within 30 days of starting, with a company match after 12 months of tenure. Apex also offers a HSA (Health Savings Account on the HDHP plan), a SupportLinc Employee Assistance Program (EAP) with up to 8 free counseling sessions, a corporate discount savings program and other discounts. In terms of professional development, Apex hosts an on-demand training program, provides access to certification prep and a library of technical and leadership courses/books/seminars once you have 6+ months of tenure, and certification discounts and other perks to associations that include CompTIA and IIBA. Apex has a dedicated customer service team for our Consultants that can address questions around benefits and other resources, as well as a certified Career Coach. You can access a full list of our benefits, programs, support teams and resources within our 'Welcome Packet' as well, which an Apex team member can provide.",https://www.dice.com/job-detail/fc586265-8cb0-4eef-bfec-40500cf1a716
Application Systems Analyst,Robert Half,,"Albuquerque, NM",Full Time,,,,,,,,,On Site,"Description

We are looking for an experienced Application Systems Analyst to join our team in Albuquerque, New Mexico. In this role, you will be responsible for evaluating, improving, and supporting application systems throughout their lifecycle, from initial requirements gathering to deployment and maintenance. The ideal candidate will have strong analytical and technical skills, with the ability to bridge the gap between business needs and technical solutions.

Responsibilities:

Define and refine business requirements, ensuring alignment with organizational goals.

Conduct thorough analysis of system logic and database structures to support enhancements.

Design, develop, test, and debug complex application components.

Provide support for application implementation, production environments, and upgrades.

Collaborate with business analysts and end users to develop detailed use cases and requirements.

Act as a liaison between technical teams and non-technical stakeholders to ensure clear communication.

Create and maintain user guides and technical documentation.

Run queries, analyze data, and develop data tools to support business needs.

Ensure compliance with DevOps practices and organizational standards.

Troubleshoot and resolve application issues to maintain system efficiency.

Other duties as needed



Interviews are currently being conducted, for immediate consideration please apply

Minimum of 4 years of experience in application systems analysis and/or development.

Proficiency in testing and supporting complex application systems.

Ability to work independently on intricate tasks with minimal supervision.

Strong knowledge of database management principles and system analysis.

Understanding of Applications architecture and integration is preferred

Familiarity with enterprise-level DevOps environments and methodologies.

Bachelor's degree in a related field or equivalent experience.

Excellent communication skills for both technical and non-technical audiences.

Advanced problem-solving and analytical abilities to address system challenges effectively.

Background required prior to employment.

Technology Doesn't Change the World, People Do.

Robert Half is the world's first and largest specialized talent solutions firm that connects highly qualified job seekers to opportunities at great companies. We offer contract, temporary and permanent placement solutions for finance and accounting, technology, marketing and creative, legal, and administrative and customer support roles.

Robert Half works to put you in the best position to succeed. We provide access to top jobs, competitive compensation and benefits, and free online training. Stay on top of every opportunity - whenever you choose - even on the go. Download the Robert Half app and get 1-tap apply, notifications of AI-matched jobs, and much more.

All applicants applying for U.S. job openings must be legally authorized to work in the United States. Benefits are available to contract/temporary professionals, including medical, vision, dental, and life and disability insurance. Hired contract/temporary professionals are also eligible to enroll in our company 401(k) plan. Visit roberthalf.gobenefits.net for more information.

2025 Robert Half. An Equal Opportunity Employer. M/F/Disability/Veterans. By clicking ""Apply Now,"" you're agreeing to Robert Half's Terms of Use and Privacy Notice.",https://www.dice.com/job-detail/45f09ee8-ac33-4b42-bbce-d3bd5044cd24
Project Manager,Apex Systems,,"Memphis, TN",Full Time,,,,,,,,,On Site,"Job#: 3017029

Job Description:

**If you are interested, please send your resume to Jordan at **

Title: Project Manager

Length: 6 months

Location: Memphis, TN

Description:

To manage projects in the department of Technology Services, comprising Technology Infrastructure and Networking areas of Information Services for our Healthcare client.



Exceptional communication and presentation skills are required, as are strong project management skills.

You will be interacting directly with executive stakeholders as well as front-line management and users of the system. Professionalism and change management savvy is needed in order to influence stakeholders and to convincingly portray trade-offs when pivotal scope and requirements of requests are under consideration.






Apex Systems is a world-class IT services company that serves thousands of clients across the globe. When you join Apex, you become part of a team that values innovation, collaboration, and continuous learning. We offer quality career resources, training, certifications, development opportunities, and a comprehensive benefits package. Our commitment to excellence is reflected in many awards, including ClearlyRated's Best of Staffing in Talent Satisfaction in the United States and Great Place to Work in the United Kingdom and Mexico. Apex uses a virtual recruiter as part of the application process. Click for more details.

Apex offers a range of supplemental benefits, including medical, dental, vision, life, disability, and other insurance plans that offer an optional layer of financial protection. We offer an ESPP (employee stock purchase program) and a 401K program which allows you to contribute typically within 30 days of starting, with a company match after 12 months of tenure. Apex also offers a HSA (Health Savings Account on the HDHP plan), a SupportLinc Employee Assistance Program (EAP) with up to 8 free counseling sessions, a corporate discount savings program and other discounts. In terms of professional development, Apex hosts an on-demand training program, provides access to certification prep and a library of technical and leadership courses/books/seminars once you have 6+ months of tenure, and certification discounts and other perks to associations that include CompTIA and IIBA. Apex has a dedicated customer service team for our Consultants that can address questions around benefits and other resources, as well as a certified Career Coach. You can access a full list of our benefits, programs, support teams and resources within our 'Welcome Packet' as well, which an Apex team member can provide.",https://www.dice.com/job-detail/c9715772-ccd7-42ec-9565-860b4fb4aacc
