Job Title,Company,Recruiter Name,Location,Employment Type 1,Employment Type 2,Employment Type 3,Employment Type 4,Employment Type 5,Employment Type 6,Contract Duration,Corp To Corp,Pay,Work Type,Job Description,Job URL
Salesforce Developer (onsite),Prutech Solutions,,"Rosslyn, VA",Full Time,,,,,,,,"$140,000+",On Site,"About Us:
Established in 1997, PruTech is committed to innovative problem-solving, solution creation, and fostering strong client partnerships. Serving a diverse array of industries, from government to finance, retail, and manufacturing, PruTech operates from strategic locations including New York City, Washington DC, North Carolina, and boasts a nearshore office in Mexico City and multiple offshore offices in India.
With over two decades of experience in Information Technology and system integration, PruTech offers a comprehensive suite of services to meet evolving technological needs:
Project-based system integration
Custom software solutions",https://www.dice.com/job-detail/f5f1806a-00a6-4ca3-9b43-dba1b835a6f7
Lead React Developer / Front End (W2 only),Prutech Solutions,Deepshikha Sharma,"Charlotte, NC",Contract - W2,,,,,,Contract - 12 Month(s),,$70+,Hybrid,"About Us:
Established in 1997, PruTech is committed to innovative problem-solving, solution creation, and fostering strong client partnerships. Serving a diverse array of industries, from government to finance, retail, and manufacturing, PruTech operates from strategic locations including New York City, Washington DC, North Carolina, and boasts a nearshore office in Mexico City and multiple offshore offices in India.
With over two decades of experience in Information Technology and system integration, PruTech offers a comprehensive suite of services to meet evolving technological needs:
Project-based system integration
Custom software solutions
Package implementations",https://www.dice.com/job-detail/6fd38012-dedc-4876-8b9d-6230268244c0
Full Stack - Python Developer (W2 only),Prutech Solutions,,"New York, NY",Contract - W2,,,,,,Contract - 12 Month(s),,$70+,Hybrid,"About Us:
Founded in 1997, PruTech is dedicated to problem-solving, creating solutions, and maintaining strong partnerships with its clients. PruTech serves a diverse list of clients in different industries from government to finance, retail, and manufacturing. PruTech has offices in New York City, Washington DC, North Carolina, and two nearshore offices in Mexico City and India.
With over 20 years of Information Technology and system integration experience, PruTech provides multiple ways to assist organizations with future technology requirements including:
Project based system integration
Custom software solutions",https://www.dice.com/job-detail/c3723e8b-25dd-4284-a381-4ad8e905e011
Development Engineer / Analyst (Natural Gas/Thermal),Southern Company,,"Birmingham, AL",Full Time,,,,,,,,,On Site,"Job Description

Development Engineer/Engineering Analyst

DESCRIPTION

This position will support the Project Development Manager (Gas) in various commercial and technical activities related to project development, evaluation, execution, budget and schedule. Additionally, the position supports the Southern Power project development strategy for new gas opportunities, both in the Southeast and in other markets. While the focus for this role will be gas project development, this role could support the project execution phase as well. This role might also be utilized for other technologies (e.g. BESS, solar, etc.) depending on project workload.





Education

Experience

Knowledge, Skills and Abilities



, a subsidiary of Southern Company, is a leading U.S. wholesale energy provider meeting the electricity needs of municipalities, electric cooperatives, investor-owned utilities, and other energy customers. Southern Power and its subsidiaries own 55 facilities operating or under construction in 14 states with more than 12,500 MW of generating capacity in Alabama, California, Delaware, Georgia, Kansas, Maine, Nevada, New Mexico, North Carolina, Oklahoma, South Dakota, Texas, West Virginia, and Washington.

Southern Company (NYSE: SO) is a leading energy provider serving 9 million customers across the Southeast and beyond through its family of companies. Providing clean, safe, reliable and affordable energy with excellent service is our mission. The company has electric operating companies in three states, natural gas distribution companies in four states, a competitive generation company, a leading distributed energy solutions provider with national capabilities, a fiber optics network and telecommunications services. Through an industry-leading commitment to innovation, resilience and sustainability, we are taking action to meet customers' and communities' needs while advancing our goal of net-zero greenhouse gas emissions by 2050. Our uncompromising values ensure we put the needs of those we serve at the center of everything we do and are the key to our sustained success. We are transforming energy into economic, environmental and social progress for tomorrow. Our corporate culture has been recognized by a variety of organizations, earning the company awards and recognitions that reflect Our Values and dedication to service. To learn more, visit

Southern Company invests in the well-being of its employees and their families through a comprehensive total rewards strategy that includes competitive base salary, annual incentive awards for eligible employees and health, welfare and retirement benefits designed to support physical, financial, and emotional/social well-being. This position may also be eligible for additional compensation, such as an incentive program, with the amount of any bonawards subject to the terms and conditions of the applicable incentive plan(s). A summary of the benefits offered for this position can be found here Additional and specific details about total compensation and benefits will also be provided during the hiring process.

Southern Company is an equal opportunity employer where an applicant's qualifications are considered without regard to race, color, religion, sex, national origin, age, disability, veteran status, genetic information, sexual orientation, gender identity or expression, or any other basis prohibited by law.



Southern Power",https://www.dice.com/job-detail/ad853d7f-39b0-4f8c-93b2-b5070fb07c41
Software Engineer - Performance and Observability,Nutanix,,"San Jose, CA",Full Time,,,,,,,,"USD 182,000.00 - 218,400.00 per year",On Site,"Hungry, Humble, Honest, with Heart.

The Opportunity

Are you a passionate engineer with a strong background in Performance and Observability, experience of building & scaling distributed systems, and a desire to build a next-gen control plane for hybrid cloud infrastructure while working in a collaborative, fast-paced environment? If so, you'll have the opportunity to be part of our innovative team, where you can contribute to building the next generation API platform for Nutanix's V4 APIs and engage in exciting new development projects.

About the Team

This role will be part of the Nutanix Prism team, based in San Jose. The team is geographically distributed across San Jose and India and is focused on building an enterprise-grade data platform and delivering exceptional multi cloud observability solutions to Nutanix's customers. The team's culture emphasizes collaboration, technical innovation, and a commitment to excellence, fostering an environment where team members can grow and influence the technical direction of products.

You will report to an Engineering Manager, who is known for fostering an inclusive and supportive environment that encourages open communication, fostering a culture where team members feel empowered to influence decisions and contribute to the project's success.









Hybrid: This role operates in a hybrid capacity, blending the benefits of remote work with the advantages of in-person collaboration. In locations where our workplace policy applies (i.e., San Jose, Durham, Mexico City, Bangalore, Pune, Hoofddorp, Belgrade, Barcelona, Singapore, Sydney, and Tokyo), employees are expected to work onsite a minimum of 3 days per week to foster collaboration, team alignment, and access to in-office resources. Workplace type may vary based on location and team requirements. Please speak with your recruiter for details. Additional team-specific guidance and norms will be provided by your manager.

The pay range for this position at commencement of employment is expected to be between USD $182,000 and USD $218,400 per year.

However, base pay offered may vary depending on multiple individualized factors, including market location, job-related knowledge, skills, and experience. The total compensation package for this position may also include other elements, including a sign-on bonus, restricted stock units, and discretionary awards in addition to a full range of medical, financial, and/or other benefits (including 401(k) eligibility and various paid time off benefits, such as vacation, sick time, and parental leave), dependent on the position offered. Details of participation in these benefit plans will be provided if an employee receives an offer of employment.

If hired, employee will be in an ""at-will position"" and the Company reserves the right to modify base salary (as well as any other discretionary payment or compensation program) at any time, including for reasons related to individual performance, Company or individual department/team performance, and market factors. Our application deadline is 40 days from the date of posting. In good faith, the posting may be removed prior to this date if the position is filled or extended in good faith.



Nutanix is an Equal Employment Opportunity and (in the U.S.) an Affirmative Action employer. Qualified applicants are considered for employment opportunities without regard to race, color, religion, sex, sexual orientation, gender identity or expression, national origin, age, marital status, protected veteran status, disability status or any other category protected by applicable law. We hire and promote individuals solely on the basis of qualifications for the job to be filled. We strive to foster an inclusive working environment that enables all our Nutants to be themselves and to do great work in a safe and welcoming environment, free of unlawful discrimination, intimidation or harassment. As part of this commitment, we will ensure that persons with disabilities are provided reasonable accommodations. If you need a reasonable accommodation, please let us know by contacting [email protected].",https://www.dice.com/job-detail/42b89a4e-adc2-487f-9616-d7d7a59f1001
Embedded Software Engineer (Mid-Level or Lead),Boeing Company,,"Kirtland AFB, NM",Full Time,,,,,,,,"USD 107,100.00 - 144,900.00 per year",On Site,"Embedded Software Engineer (Mid-Level or Lead)

Company:
The Boeing Company

Boeing Defense, Space and Security (BDS) is looking for a Mid-Level or Lead Embedded Software Engineer (Level 3 or 4) to join our exclusive team at the Starfire Optical Range on Kirtland AFB in Albuquerque, New Mexico.

We are seeking a highly skilled individual with experience in controls design and digital signal processing. This position will support the hardware, firmware, and software development of electro-optical systems. This is a unique opportunity to contribute to advancements in technology using cutting-edge equipment at a historically significant site.

This position supports the R&D mission of the Air Force Research Laboratory Optics Division in their advancement of Space Domain Awareness capabilities. The site houses telescope research facilities ranging in size from 0.5m up to 3.5m with advanced optical systems. You will work as part of a multidisciplinary team supporting the development, optimization, and maintenance of embedded electro-mechanical pointing and tracking control systems.

Starfire Optical Range is a world class research facility with recognized achievements, enabled by the quality, enthusiasm, and dedication of our entire team. Our team consists of engineers and technicians in all disciplines required to plan, design, integrate, and test complex optical, electronic, quantum systems to achieve research objectives.











Boeing is a Drug Free Workplace where post offer applicants and employees are subject to testing for marijuana, cocaine, opioids, amphetamines, PCP, and alcohol when criteria is met as outlined in our policies.



This position is for Variable shift.

:

At Boeing, we strive to deliver a Total Rewards package that will attract, engage and retain the top talent. Elements of the Total Rewards package include competitive base pay and variable compensation opportunities.

The Boeing Company also provides eligible employees with an opportunity to enroll in a variety of benefit programs, generally including health insurance, flexible spending accounts, health savings accounts, retirement savings plans, life and disability insurance programs, and a number of programs that provide for both paid and unpaid time away from work.

The specific programs and options available to any given employee may vary depending on eligibility factors such as geographic location, date of hire, and the applicability of collective bargaining agreements.

Pay is based upon candidate experience and qualifications, as well as market and business considerations.

Mid-Level (Level 3) Summary pay range: $107,100 - $144,900

Lead (Level 4) Summary pay range: $129,200 - $174,800


Not Applicable


Bachelor's Degree or Equivalent


Relocation assistance is not a negotiable benefit for this position.


This position must meet export control compliance requirements. To meet export control compliance requirements, a ""U.S. Person"" as defined by 22 C.F.R. 120.15 is required. ""U.S. Person"" includes U.S. Citizen, lawful permanent resident, refugee, or asylee.


This is not a Safety Sensitive Position.


This position requires an active U.S. Top Secret/SCI Security Clearance (U.S. Citizenship Required). (A U.S. Security Clearance that has been active in the past 24 months is considered active)


Employer will not sponsor applicants for employment visa status.


This position is not contingent upon program award


Shift 4 (United States of America)

- Recruitment Fraud Warning

Boeing is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national origin, gender, sexual orientation, gender identity, age, physical or mental disability, genetic factors, military/veteran status or other characteristics protected by law.

EEO is the law

Boeing EEO Policy

Request an Accommodation

Applicant Privacy",https://www.dice.com/job-detail/a97f788a-9cb7-406c-8f90-89746d50c047
Controls Engineer (Associate or Mid-Level),Boeing Company,,"Kirtland AFB, NM",Full Time,,,,,,,,"USD 88,400.00 - 119,600.00 per year",On Site,"Controls Engineer (Associate or Mid-Level)

Company:
The Boeing Company

Boeing Defense, Space and Security (BDS) is looking for an Associate or Mid-Level Controls Engineer (Level 2 or 3) to join our exclusive team at the Starfire Optical Range on Kirtland AFB in Albuquerque, New Mexico.

We are seeking a highly skilled individual with experience in controls, system modeling, simulation, and performance optimization. This role will support the hardware, firmware, and software development of electro-optical systems. This is a unique opportunity to contribute to advancements in technology using cutting-edge equipment at a historically significant site.

This position supports the R&D mission of the Air Force Research Laboratory Optics Division in their advancement of Space Domain Awareness capabilities. The site houses telescope research facilities ranging in size from 0.5m up to 3.5m with advanced optical systems. You will work as part of a multidisciplinary team supporting the supporting the development, optimization, and maintenance of control solutions.

Starfire Optical Range is a world class research facility with recognized achievements, enabled by the quality, enthusiasm, and dedication of our entire team. Our team consists of engineers and technicians in all disciplines required to plan, design, integrate, and test complex optical, electronic, quantum systems to achieve research objectives.











Boeing is a Drug Free Workplace where post offer applicants and employees are subject to testing for marijuana, cocaine, opioids, amphetamines, PCP, and alcohol when criteria is met as outlined in our policies.



This position is for Variable shift.

:

At Boeing, we strive to deliver a Total Rewards package that will attract, engage and retain the top talent. Elements of the Total Rewards package include competitive base pay and variable compensation opportunities.

The Boeing Company also provides eligible employees with an opportunity to enroll in a variety of benefit programs, generally including health insurance, flexible spending accounts, health savings accounts, retirement savings plans, life and disability insurance programs, and a number of programs that provide for both paid and unpaid time away from work.

The specific programs and options available to any given employee may vary depending on eligibility factors such as geographic location, date of hire, and the applicability of collective bargaining agreements.

Pay is based upon candidate experience and qualifications, as well as market and business considerations.

Associate (Level 2) Summary pay range: $88,400 - $119,600

Mid-Level (Level 3) Summary pay range: $107,100 - $144,900


Not Applicable


Bachelor's Degree or Equivalent


Relocation assistance is not a negotiable benefit for this position.


This position must meet export control compliance requirements. To meet export control compliance requirements, a ""U.S. Person"" as defined by 22 C.F.R. 120.15 is required. ""U.S. Person"" includes U.S. Citizen, lawful permanent resident, refugee, or asylee.


This is not a Safety Sensitive Position.


This position requires an active U.S. Top Secret/SCI Security Clearance (U.S. Citizenship Required). (A U.S. Security Clearance that has been active in the past 24 months is considered active)


Employer will not sponsor applicants for employment visa status.


This position is not contingent upon program award


Shift 4 (United States of America)

- Recruitment Fraud Warning

Boeing is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national origin, gender, sexual orientation, gender identity, age, physical or mental disability, genetic factors, military/veteran status or other characteristics protected by law.

EEO is the law

Boeing EEO Policy

Request an Accommodation

Applicant Privacy",https://www.dice.com/job-detail/579f8cd0-3917-4537-90d4-197713cdf278
Electrical Engineer - Hardware Design and Analysis (Associate or Mid-Level),Boeing Company,,"Kirtland AFB, NM",Full Time,,,,,,,,"USD 88,400.00 - 119,600.00 per year",On Site,"Electrical Engineer - Hardware Design and Analysis (Associate or Mid-Level)

Company:
The Boeing Company

Boeing Defense, Space and Security (BDS) is looking for an Associate or Mid-Level Electrical Engineer - Hardware Design and Analysis (Level 2 or 3) to join our exclusive team at the Starfire Optical Range on Kirtland AFB in Albuquerque, New Mexico.

We are looking for a highly skilled individual who has a background in electronic circuitry and schematic designs. This position will support the hardware, firmware, and software development of electro-optical systems. This is a unique opportunity to contribute to advancements in technology using cutting-edge equipment at a historically significant site.

This position supports the R&D mission of the Air Force Research Laboratory Optics Division in their advancement of Space Domain Awareness capabilities. The site houses telescope research facilities ranging in size from 0.5m up to 3.5m with advanced optical systems. You will work as part of a multidisciplinary team supporting the development, optimization, and maintenance of embedded electro-mechanical pointing and tracking control systems.

The ideal candidate would assist with the documentation and maintenance of architectures, requirements, algorithms, interfaces and designs for hardware systems. Starfire Optical Range is a world class research facility with recognized achievements, enabled by the quality, enthusiasm, and dedication of our entire team. Our team consists of engineers and technicians in all disciplines required to plan, design, integrate, and test complex optical, electronic, quantum systems to achieve research objectives.











Boeing is a Drug Free Workplace where post offer applicants and employees are subject to testing for marijuana, cocaine, opioids, amphetamines, PCP, and alcohol when criteria is met as outlined in our policies.



This position is for Variable shift.

:

At Boeing, we strive to deliver a Total Rewards package that will attract, engage and retain the top talent. Elements of the Total Rewards package include competitive base pay and variable compensation opportunities.

The Boeing Company also provides eligible employees with an opportunity to enroll in a variety of benefit programs, generally including health insurance, flexible spending accounts, health savings accounts, retirement savings plans, life and disability insurance programs, and a number of programs that provide for both paid and unpaid time away from work.

The specific programs and options available to any given employee may vary depending on eligibility factors such as geographic location, date of hire, and the applicability of collective bargaining agreements.

Pay is based upon candidate experience and qualifications, as well as market and business considerations.

Associate (Level 2) Summary pay range: $88,400 - $119,600

Mid-Level (Level 3) Summary pay range: $107,100 - $144,900


Not Applicable


Bachelor's Degree or Equivalent


Relocation assistance is not a negotiable benefit for this position.


This position must meet export control compliance requirements. To meet export control compliance requirements, a ""U.S. Person"" as defined by 22 C.F.R. 120.15 is required. ""U.S. Person"" includes U.S. Citizen, lawful permanent resident, refugee, or asylee.


This is not a Safety Sensitive Position.


This position requires an active U.S. Top Secret/SCI Security Clearance (U.S. Citizenship Required). (A U.S. Security Clearance that has been active in the past 24 months is considered active)


Employer will not sponsor applicants for employment visa status.


This position is not contingent upon program award


Shift 4 (United States of America)

- Recruitment Fraud Warning

Boeing is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national origin, gender, sexual orientation, gender identity, age, physical or mental disability, genetic factors, military/veteran status or other characteristics protected by law.

EEO is the law

Boeing EEO Policy

Request an Accommodation

Applicant Privacy",https://www.dice.com/job-detail/519ccf0e-8e45-448f-85a4-78f5101193f4
"Associate Analyst, Clinical Informatics (Bilingual in Spanish Required) - Monday - Friday 7AM - 4PM PST (REMOTE)",Molina Healthcare,,"Remote or San Antonio, Texas",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby9pdEpWcTdiIiwiam9iSWQiOiI4OTk0MmM4Yy0yZGM2LTQ4ODItYmM1Yi05MzEzMTM2ZGUyM2IiLCJqb2JUaXRsZSI6IkFzc29jaWF0ZSBBbmFseXN0LCBDbGluaWNhbCBJbmZvcm1hdGljcyAoQmlsaW5ndWFsIGluIFNwYW5pc2ggUmVxdWlyZWQpIC0gTW9uZGF5IC0gRnJpZGF5IDdBTSAtIDRQTSBQU1QgKFJFTU9URSkiLCJqb2JUeXBlIjoicHJvZ3JhbW1hdGljIn0=
"Associate Analyst, Clinical Informatics (Bilingual in Spanish Required) - Monday - Friday 7AM - 4PM PST (REMOTE)",Molina Healthcare,,"Remote or Albuquerque, New Mexico",,,,,,,,,,,,https://www.dice.com/apply-redirect?applyData=eyJjb25maWd1cmVkVXJsIjoiaHR0cHM6Ly9kc3AucHJuZy5jby93dFdoV2ViIiwiam9iSWQiOiJkNDJjMWQwNS1hNzllLTQ2NDQtYjg4Ny01NDQ1ZjNhZDg4MDUiLCJqb2JUaXRsZSI6IkFzc29jaWF0ZSBBbmFseXN0LCBDbGluaWNhbCBJbmZvcm1hdGljcyAoQmlsaW5ndWFsIGluIFNwYW5pc2ggUmVxdWlyZWQpIC0gTW9uZGF5IC0gRnJpZGF5IDdBTSAtIDRQTSBQU1QgKFJFTU9URSkiLCJqb2JUeXBlIjoicHJvZ3JhbW1hdGljIn0=
